prefecture,city,number,address,name,lat,long
東京都,板橋区,21_7,南常盤台2丁目8番6号,南ときわ台公園（西）,35.7566159,139.6863566
東京都,板橋区,21_8,南常盤台2丁目10番6号,区営南常盤台二丁目アパート集会所,35.7570654,139.685215
東京都,板橋区,22_1,東新町1丁目27番8号,緑ケ丘第一公園（北）,35.7569617,139.6811972
東京都,板橋区,22_2,東新町2丁目14番8号,民宅,35.7555611,139.6822582
東京都,板橋区,22_3,東新町2丁目14番8号,民宅,35.7555611,139.6822582
東京都,板橋区,22_4,東新町2丁目30番23号,安養院（東）,35.7547261,139.6801804
東京都,板橋区,22_5,東新町2丁目43番5号,東新保育園,35.7525996,139.6805692
東京都,板橋区,22_6,東山町47番3号,上板橋小学校（西）,35.7546656,139.6866606
東京都,板橋区,22_7,東山町47番3号,上板橋小学校（北）,35.7546656,139.6866606
東京都,板橋区,22_8,東山町52番8号,東山公園（西）,35.7559758,139.6856611
東京都,板橋区,23_1,東新町2丁目29番1号,桜川小学校（北）,35.7541942,139.6781467
東京都,板橋区,23_2,東新町2丁目29番1号,桜川小学校（西）,35.7541942,139.6781467
東京都,板橋区,23_3,桜川1丁目2番1号,桜川中学校（西）,35.7560823,139.6765091
東京都,板橋区,23_4,桜川2丁目3番,桜川二丁目３番遊び場（南）,35.7574605,139.6765418
東京都,板橋区,23_5,桜川2丁目18番1号,緑ケ丘第二公園（南）,35.7586737,139.6785388
東京都,板橋区,23_6,桜川3丁目9番1号,緑ケ丘第三公園（北）,35.7608337,139.6727916
東京都,板橋区,23_7,桜川3丁目18番,桜川三丁目１８番遊び場（北）,35.7601474,139.6757443
東京都,板橋区,24_1,上板橋1丁目3番1号,上板橋第四小学校（西）,35.7614542,139.6783461
東京都,板橋区,24_2,上板橋1丁目3番1号,上板橋第四小学校（東）,35.7614542,139.6783461
東京都,板橋区,24_3,上板橋2丁目3番8号,上板橋保育園,35.7618316,139.6737905
東京都,板橋区,24_4,上板橋2丁目36番7号,上板橋駅（北）,35.7634687,139.6763885
東京都,板橋区,24_5,上板橋2丁目36番7号,上板橋駅（西）,35.7634687,139.6763885
